December 1946,Koningin Wilhelmina (1927),Oosterschelde (1933),Prins Willem I (1933),Dordrecht (1933),Koningsplaat,Prinses Irene,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Zeemeeuw
16-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
17-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
18-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
19-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
20-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
21-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
22-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
23-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
24-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
25-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
26-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
27-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
28-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
29-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
30-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
31-12-1946,Kruiningen-Perkpolder,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Werkplaats,Werkplaats,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
