Maart 1948,Prins Willem I (1933),Oosterschelde (1933),Koningin Wilhelmina (1927),Dordrecht (1933),Koningin Emma (1933),Koningsplaat,Prinses Irene,Zandkreek (1926),Gorinchem,Zuidvliet (1914),Willemsdorp (1930),Zeemeeuw
21-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
22-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
23-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
24-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
25-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
26-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
27-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
28-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
29-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
30-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
31-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
