April 1947,Prins Willem I (1933),Oosterschelde (1933),Koningin Wilhelmina (1927),Dordrecht (1933),Koningin Emma (1933),Prinses Irene,Zandkreek (1926),Zuidvliet (1914),Koningsplaat,Zeemeeuw
14-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
15-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
16-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
17-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
18-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
19-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
20-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
21-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
22-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
23-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
24-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
25-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats
26-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats
27-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats
28-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats
29-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werf,Werkplaats
30-04-1947,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
